id,iata,supplier,period,price_usc_per_gallon,price_dollar_per_tonne
2670,OSR,AEG,PW,281.8151757458386,930.6100733479082
3327,OTP,Air BP,PM,276.82773342380403,914.1405413120857
3328,PEG,Air BP,PM,297.0644840330984,980.9663391740975
2672,PFO,AEG,1/2M,289.97783635431654,957.5648112092241
3330,PMF,Air BP,PM,475.00007987510196,1568.5452637635617
3015,PMI,Ist Jet,PM,265.07717938866324,875.3378617772438
2952,PMO,Ist Jet,PM,264.8529030695411,874.5972565162388
3333,POZ,Air BP,PW,262.85269410057685,867.9921664589249
2525,PRG,Total,PM,265.86371952184254,877.9351746050285
2880,PRN,Royal Petrol,1/2M,345.96886532519153,1142.4583870768474
2676,PSA,AEG,PM,265.742489361112,877.5348483682641
2443,PVK,CAC,1/2M,290.8059745741376,960.2994892387172
3011,PXO,Ist Jet,PM,353.2929131598889,1166.643857836585
2348,RAK,UCIG,1/2M,250.99855255651366,828.8474202521194
2332,RHO,UCIG,1/2M,280.7040368388084,926.9408704491132
2681,RIX,AEG,PM,292.7927211571646,966.8601238051889
2366,RKT,UCIG,1/2M,272.1339868758296,898.6408514613645
2527,RMF,Total,MP,350.0971883549261,1156.090935385637
3177,RMI,Jetex,PM,347.1620569984713,1146.398544620352
2683,RTM,AEG,PW,290.1052579673372,957.9855828597409
2684,RVN,AEG,PW,1174.4299121455465,3878.2024558870235
2353,RZE,UCIG,MP,300.12857011663186,991.0845642391417
2998,SAW,Ist Jet,1/2M,242.77894068989139,801.7046179461594
2686,SEN,AEG,MP,425.986643449593,1406.693093999246
2687,SEZ,AEG,MP,323.7,1068.92214
3337,SHJ,Air BP,1/2M,260.3946168694011,859.8751038261363
2915,SID,Royal Petrol,PM,265.7412263134577,877.5306775322999
2297,SJJ,UCIG,PM,291.40241844750346,962.269066197346
2328,SKG,UCIG,1/2M,277.03060493505234,914.8104636165299
3218,SKP,Jetex,1/2M,283.3701931497715,935.7450518191755
2352,SLL,UCIG,MP,417.31104784645015,1378.0445421985478
2694,SPC,AEG,PW,261.96989026531935,865.0769716341375
2695,SPU,AEG,PW,265.53156662109103,876.8383392961669
2308,SSH,UCIG,MP,253.60455505556044,837.4529617044717
2528,STN,Total,PM,272.56570190026537,900.0664608150563
3341,STR,Air BP,PW,260.6261377911567,860.6396322139576
2942,SUF,Ist Jet,PM,273.1961745179392,902.1484074931388
3020,SVQ,Ist Jet,PM,271.27633697725116,895.8087199662788
2700,SXB,AEG,PW,730.1399042622013,2411.067991854641
2472,SZZ,CAC,PW,288.6039742080015,953.0280436296625
2482,TAT,CAC,MP,500.034763631035,1651.2147964624037
2971,TBS,Ist Jet,1/2M,293.60320049557635,969.5364886764922
3025,TFN,Ist Jet,PM,275.9522351863934,911.2494710325083
3024,TFS,Ist Jet,PM,256.9502577101285,848.5011410103863
2346,TGD,UCIG,PW,240.36408761306865,793.7302901158753
3346,TIA,Air BP,PM,288.01217546265264,951.0738058127715
2345,TIV,UCIG,PW,203.03747457999364,670.470348558055
2708,TLL,AEG,PM,391.44126708010026,1292.6173521519072
3347,TLS,Air BP,PW,267.5034504616691,883.3498941145237
3348,TLV,Air BP,MP,230.81282379771682,762.1901067448205
2937,TNG,Ist Jet,1/2M,311.195702084673,1027.6304474240071
3349,TRN,Air BP,PM,273.63250897102813,903.5892711241291
3350,TRS,Air BP,PM,284.38645506376116,939.1009519115521
3351,VCE,Air BP,PM,263.09373105838154,868.7881187009875
