id,supl_iata,start,end,supplier,iata,value,currency,per_volume,supl_iata_1,value_per_usdc
57,AEG-DSA,2022-01-19,2023-03-31,AEG,DSA,2.6635,USD,gallion.USG.UGL,,266.35
58,AEG-DUB,2020-01-04,2021-03-31,AEG,DUB,2.2562,USD,gallion.USG.UGL,,225.62000000000003
59,AEG-DUS,2023-03-28,2024-03-31,AEG,DUS,2.0726,EUR,litter.L,,720.5110179222195
60,AEG-DXB,2020-01-11,2021-03-31,AEG,DXB,1.2014,USD,gallion.USG.UGL,,120.14
61,AEG-EBB,2023-03-28,2023-03-28,AEG,EBB,950.6583,USD,M3.1000L,,359.86331308072926
62,AEG-ERF,2023-06-09,2023-06-09,AEG,ERF,5.7248,USD,gallion.USG.UGL,,572.48
63,AEG-ETM,2022-01-03,2022-01-03,AEG,ETM,3.2554,USD,gallion.USG.UGL,,325.53999999999996
64,AEG-EVN,2021-01-08,2021-01-08,AEG,EVN,3.0296,USD,gallion.USG.UGL,,302.96
65,AEG-FAE,2021-07-21,2022-03-31,AEG,FAE,6.0259,USD,gallion.USG.UGL,,602.59
66,AEG-FEZ,2020-02-10,2021-03-31,AEG,FEZ,1.555807,USD,gallion.USG.UGL,,155.5807
67,AEG-FMO,2022-01-03,2023-03-31,AEG,FMO,6.026943,USD,gallion.USG.UGL,,602.6943
68,AEG-FUE,2021-06-07,2022-03-31,AEG,FUE,2.3616,USD,gallion.USG.UGL,,236.16000000000003
69,AEG-GAN,2023-08-08,2024-03-31,AEG,GAN,6.122624,USD,gallion.USG.UGL,,612.2624
70,AEG-GLA,2020-07-04,2021-03-31,AEG,GLA,0.9511,USD,gallion.USG.UGL,,95.11
71,AEG-GOA,2020-01-04,2021-03-31,AEG,GOA,2.4906,USD,gallion.USG.UGL,,249.06
72,AEG-GRQ,2023-08-03,2024-03-31,AEG,GRQ,8.7916,USD,gallion.USG.UGL,,879.1600000000001
73,AEG-GRZ,2022-01-03,2023-03-31,AEG,GRZ,4.678825,USD,gallion.USG.UGL,,467.8825
74,AEG-GYD,2023-06-09,2024-03-31,AEG,GYD,4.1733,USD,gallion.USG.UGL,,417.33000000000004
75,AEG-GZP,2023-02-05,2024-03-31,AEG,GZP,2.787488,USD,gallion.USG.UGL,,278.7488
76,AEG-HAJ,2020-01-04,2021-03-31,AEG,HAJ,1274,EUR,M3.1000L,,442.8886593857999
77,AEG-HEL,2020-07-30,2021-03-31,AEG,HEL,1.3634,USD,gallion.USG.UGL,,136.34
78,AEG-HFA,2023-06-09,2024-03-31,AEG,HFA,4.592,USD,gallion.USG.UGL,,459.2
79,AEG-HHN,2020-04-17,2021-03-31,AEG,HHN,1.199,USD,gallion.USG.UGL,,119.9
80,AEG-HMB,2020-01-09,2020-01-09,AEG,HMB,2.3142,USD,gallion.USG.UGL,,231.42000000000002
81,AEG-HRE,2021-01-04,2022-03-31,AEG,HRE,0.71,USD,litter.L,,268.7642370283742
82,AEG-HRG,2021-01-04,2022-03-31,AEG,HRG,2.1365,USD,gallion.USG.UGL,,213.64999999999998
83,AEG-HRI,2023-03-28,2024-03-31,AEG,HRI,3.18,USD,gallion.USG.UGL,,318.0
84,AEG-HRK,2023-03-28,2024-03-31,AEG,HRK,1162.3583,USD,M3.1000L,,440.0004805353135
85,AEG-JED,2020-02-05,2021-03-31,AEG,JED,0.6609,USD,gallion.USG.UGL,,66.09
86,AEG-JIB,2023-06-09,2024-03-31,AEG,JIB,4.4889,USD,gallion.USG.UGL,,448.89
87,AEG-JNB,2023-03-28,2023-03-28,AEG,JNB,3.3884,USD,gallion.USG.UGL,,338.84
88,AEG-KBL,2020-06-23,2020-06-23,AEG,KBL,2.5227,USD,gallion.USG.UGL,,252.26999999999998
89,AEG-KBP,2023-03-28,2024-03-31,AEG,KBP,1039.6673,USD,mTon,,314.84487343058925
90,AEG-KDH,2020-04-15,2021-03-31,AEG,KDH,4.6031,USD,gallion.USG.UGL,,460.31000000000006
91,AEG-KEF,2020-01-04,2021-03-31,AEG,KEF,2.1594,USD,gallion.USG.UGL,,215.94000000000003
92,AEG-KGD,2023-03-28,2024-03-31,AEG,KGD,1255.69,USD,mTon,,380.26353153365176
93,AEG-KIV,2023-03-28,2024-03-31,AEG,KIV,1176.69,USD,mTon,,356.3397772701325
94,AEG-KLU,2023-10-05,2024-03-31,AEG,KLU,2.920532,USD,gallion.USG.UGL,,292.0532
95,AEG-KRK,2020-06-23,2020-06-23,AEG,KRK,2.524259,USD,gallion.USG.UGL,,252.42589999999998
96,AEG-KSC,2020-01-04,2021-03-31,AEG,KSC,0.794,EUR,litter.L,,276.0232308357822
97,AEG-KVA,2020-05-21,2021-03-31,AEG,KVA,1.5129,USD,gallion.USG.UGL,,151.29
98,AEG-KZN,2023-08-08,2024-03-31,AEG,KZN,3.724018,USD,gallion.USG.UGL,,372.4018
99,AEG-LDY,2022-01-03,2023-03-31,AEG,LDY,5.2275,USD,gallion.USG.UGL,,522.75
100,AEG-LED,2023-03-28,2024-03-31,AEG,LED,1421.725,USD,mTon,,430.54429785192286
101,AEG-LEJ,2020-03-06,2021-03-31,AEG,LEJ,1.270133,USD,gallion.USG.UGL,,127.0133
102,AEG-LIL,2020-01-04,2020-01-04,AEG,LIL,2.2538,USD,gallion.USG.UGL,,225.38
103,AEG-LJU,2023-03-28,2024-03-31,AEG,LJU,4.1215,USD,gallion.USG.UGL,,412.15000000000003
104,AEG-LOS,2023-03-28,2024-03-31,AEG,LOS,3.5285,USD,gallion.USG.UGL,,352.85
105,AEG-LPA,2021-06-07,2022-03-31,AEG,LPA,2.1705,USD,gallion.USG.UGL,,217.05
106,AEG-LTN,2023-10-05,2024-03-31,AEG,LTN,2.424858,USD,gallion.USG.UGL,,242.48579999999998
107,AEG-LUX,2020-07-18,2021-03-31,AEG,LUX,1.3177,USD,gallion.USG.UGL,,131.77
108,AEG-LUZ,2022-01-03,2023-03-31,AEG,LUZ,3.76129,USD,gallion.USG.UGL,,376.12899999999996
109,AEG-LWO,2023-03-28,2024-03-31,AEG,LWO,1039.6673,USD,mTon,,314.84487343058925
110,AEG-LXR,2021-01-04,2022-03-31,AEG,LXR,2.1565,USD,gallion.USG.UGL,,215.64999999999998
111,AEG-MBX,2021-02-09,2022-03-31,AEG,MBX,3.2393,USD,gallion.USG.UGL,,323.93
112,AEG-MCT,2020-01-06,2021-03-31,AEG,MCT,2.4291,USD,gallion.USG.UGL,,242.91
113,AEG-MCX,2023-06-09,2024-03-31,AEG,MCX,3.3494,USD,gallion.USG.UGL,,334.94
114,AEG-MIA,2020-05-05,2021-03-31,AEG,MIA,0.8602,USD,gallion.USG.UGL,,86.02
115,AEG-MIR,2023-01-03,2023-01-03,AEG,MIR,3.979271,USD,gallion.USG.UGL,,397.9271
116,AEG-MLA,2023-10-05,2024-03-31,AEG,MLA,2.941874,USD,gallion.USG.UGL,,294.18739999999997
