id,supl_iata,start,end,supplier,iata,value,currency,per_volume,supl_iata_1,value_per_usdc
662,WF-GOA,2020-01-04,2020-01-04,WF,GOA,2.40923,USD,gallion.USG.UGL,,240.923
663,WF-GYD,2021-01-04,2021-01-04,WF,GYD,2.49765,USD,gallion.USG.UGL,,249.76500000000001
664,WF-GZP,2020-01-04,2020-01-04,WF,GZP,4.09499,USD,gallion.USG.UGL,,409.499
665,WF-HEL,2020-07-30,2020-07-30,WF,HEL,1.40142,USD,gallion.USG.UGL,,140.14200000000002
666,WF-HHN,2020-11-18,2020-11-18,WF,HHN,1.23626,USD,gallion.USG.UGL,,123.62599999999999
667,WF-HKT,2023-09-16,2023-09-16,WF,HKT,2.81323,USD,gallion.USG.UGL,,281.323
668,WF-HMB,2020-09-18,2020-09-18,WF,HMB,2.46548,USD,gallion.USG.UGL,,246.548
669,WF-HRE,2023-01-04,2023-01-04,WF,HRE,2.4472,USD,gallion.USG.UGL,,244.72
670,WF-HRG,2021-01-04,2021-01-04,WF,HRG,2.1365,USD,gallion.USG.UGL,,213.64999999999998
671,WF-IAS,2020-09-04,2020-09-04,WF,IAS,1.349,USD,gallion.USG.UGL,,134.9
672,WF-IDR,2020-01-06,2020-01-06,WF,IDR,1.5352,USD,gallion.USG.UGL,,153.51999999999998
673,WF-INI,2021-01-08,2022-03-31,WF,INI,2.14552,USD,gallion.USG.UGL,,214.552
674,WF-JED,2023-03-28,2024-03-31,WF,JED,2.90964,USD,gallion.USG.UGL,,290.964
675,WF-JIB,2022-01-04,2023-03-31,WF,JIB,3.07348,USD,gallion.USG.UGL,,307.348
676,WF-JNB,2023-01-09,2024-03-31,WF,JNB,2.65872,USD,gallion.USG.UGL,,265.872
677,WF-KEF,2020-01-04,2021-03-31,WF,KEF,2.27718,USD,gallion.USG.UGL,,227.718
678,WF-KGD,2020-06-19,2021-03-31,WF,KGD,2.18799,USD,gallion.USG.UGL,,218.799
679,WF-KIV,2023-08-15,2024-03-31,WF,KIV,3.44908,USD,gallion.USG.UGL,,344.908
680,WF-KVA,2020-05-21,2021-03-31,WF,KVA,1.43976,USD,gallion.USG.UGL,,143.976
681,WF-KWI,2023-01-05,2024-03-31,WF,KWI,2.25014,USD,gallion.USG.UGL,,225.014
682,WF-KZN,2020-01-04,2021-03-31,WF,KZN,2.73559,USD,gallion.USG.UGL,,273.559
683,WF-LEJ,2020-01-04,2021-03-31,WF,LEJ,2.17592,USD,gallion.USG.UGL,,217.592
684,WF-LIL,2023-11-04,2024-03-31,WF,LIL,2.42312,USD,gallion.USG.UGL,,242.31199999999998
685,WF-LJU,2020-01-04,2021-03-31,WF,LJU,2.84164,USD,gallion.USG.UGL,,284.164
686,WF-LNZ,2022-01-04,2023-03-31,WF,LNZ,2.38001,USD,gallion.USG.UGL,,238.001
687,WF-LOS,2023-03-28,2024-03-31,WF,LOS,3.14064,USD,gallion.USG.UGL,,314.06399999999996
688,WF-LPA,2021-01-06,2022-03-31,WF,LPA,1.8898,USD,gallion.USG.UGL,,188.98
689,WF-LTN,2019-06-19,2020-03-31,WF,LTN,2.13701,USD,gallion.USG.UGL,,213.70100000000002
690,WF-LUX,2020-07-18,2021-03-31,WF,LUX,1.24583,USD,gallion.USG.UGL,,124.583
691,WF-LXR,2022-01-04,2023-03-31,WF,LXR,381.65,USDC,gallion.USG.UGL,,350.49132151712735
692,WF-MBA,2023-03-28,2024-03-31,WF,MBA,2.99055,USD,gallion.USG.UGL,,299.055
693,WF-MBX,2023-01-08,2024-03-31,WF,MBX,2.19812,USD,gallion.USG.UGL,,219.81199999999998
694,WF-MCT,2022-02-01,2023-03-31,WF,MCT,2.22482,USD,gallion.USG.UGL,,222.48199999999997
695,WF-MIA,2020-05-05,2021-03-31,WF,MIA,0.81372,USD,gallion.USG.UGL,,81.372
696,WF-MIR,2023-01-10,2024-03-31,WF,MIR,3.51806,USD,gallion.USG.UGL,,351.80600000000004
697,WF-MLA,2021-01-10,2022-03-31,WF,MLA,2.66815,USD,gallion.USG.UGL,,266.815
698,WF-MLE,2022-01-01,2023-03-31,WF,MLE,3.66429,USD,gallion.USG.UGL,,366.429
699,WF-MRU,2023-01-04,2024-03-31,WF,MRU,348.3382944,USDC,gallion.USG.UGL,,319.89925098723484
700,WF-MRV,2020-01-04,2021-03-31,WF,MRV,2.68121,USD,gallion.USG.UGL,,268.121
701,WF-MSQ,2021-01-04,2022-03-31,WF,MSQ,2.52794,USD,gallion.USG.UGL,,252.794
702,WF-NAV,2020-01-02,2021-03-31,WF,NAV,2.31779,USD,gallion.USG.UGL,,231.779
703,WF-NBE,2021-01-04,2022-03-31,WF,NBE,1.80666,USD,gallion.USG.UGL,,180.666
704,WF-NBO,2023-03-28,2024-03-31,WF,NBO,2.99055,USD,gallion.USG.UGL,,299.055
705,WF-NCE,2020-01-04,2021-03-31,WF,NCE,2.23322,USD,gallion.USG.UGL,,223.32200000000003
706,WF-NHD,2020-01-04,2021-03-31,WF,NHD,3.73,USD,gallion.USG.UGL,,373.0
707,WF-NQZ,2023-03-28,2023-03-28,WF,NQZ,4.509,USD,gallion.USG.UGL,,450.90000000000003
708,WF-NRN,2023-01-04,2023-01-04,WF,NRN,3.78875,USD,gallion.USG.UGL,,378.875
709,WF-OMO,2023-01-04,2023-01-04,WF,OMO,5.17194,USD,gallion.USG.UGL,,517.1940000000001
710,WF-OPO,2020-01-04,2020-01-04,WF,OPO,2.15312,USD,gallion.USG.UGL,,215.31199999999998
711,WF-OSL,2019-06-06,2019-06-06,WF,OSL,2.27424,USD,gallion.USG.UGL,,227.42399999999998
712,WF-OSR,2020-08-09,2020-08-09,WF,OSR,1.85383,USD,gallion.USG.UGL,,185.383
713,WF-OUA,2023-01-10,2024-03-31,WF,OUA,5.07933,USD,gallion.USG.UGL,,507.933
714,WF-PEK,2023-03-28,2024-03-31,WF,PEK,2.53842,USD,gallion.USG.UGL,,253.84199999999998
715,WF-PFO,2023-01-05,2024-03-31,WF,PFO,2.34376,USD,gallion.USG.UGL,,234.376
716,WF-PHC,2023-01-10,2024-03-31,WF,PHC,3.75864,USD,gallion.USG.UGL,,375.86400000000003
717,WF-PRY,2020-05-21,2021-03-31,WF,PRY,2.29313,USD,gallion.USG.UGL,,229.31300000000002
718,WF-PSA,2022-01-04,2023-03-31,WF,PSA,2.10762,USD,gallion.USG.UGL,,210.76199999999997
719,WF-PVG,2020-01-06,2021-03-31,WF,PVG,1.11699,USD,gallion.USG.UGL,,111.699
720,WF-RHO,2020-01-04,2021-03-31,WF,RHO,2.37756,USD,gallion.USG.UGL,,237.756
721,WF-RHO*,2020-01-04,2021-03-31,WF,RHO*,2.435635,USD,gallion.USG.UGL,,243.5635
722,WF-RKT,2023-03-28,2024-03-31,WF,RKT,2.89566,USD,gallion.USG.UGL,,289.566
723,WF-RMF,2021-01-04,2022-03-31,WF,RMF,3.09,USD,gallion.USG.UGL,,309.0
724,WF-RUH,2023-03-28,2024-03-31,WF,RUH,2.94171,USD,gallion.USG.UGL,,294.171
725,WF-RZE,2023-01-04,2024-03-31,WF,RZE,3.73123,EUR,gallion.USG.UGL,,342.66048305629533
726,WF-SBZ,2020-04-15,2021-03-31,WF,SBZ,1.65776,USD,gallion.USG.UGL,,165.77599999999998
727,WF-SCV,2023-02-04,2024-03-31,WF,SCV,0,USD,gallion.USG.UGL,,0.0
728,WF-SEN,2023-01-04,2024-03-31,WF,SEN,4.71104,USD,gallion.USG.UGL,,471.104
729,WF-SEZ,2023-01-04,2024-03-31,WF,SEZ,3.91499,USD,gallion.USG.UGL,,391.499
730,WF-SGN,2020-01-06,2021-03-31,WF,SGN,0.85832,USD,gallion.USG.UGL,,85.832
731,WF-SJJ,2022-01-04,2023-03-31,WF,SJJ,2.31031,USD,gallion.USG.UGL,,231.03099999999998
732,WF-SLL,2023-05-09,2024-03-31,WF,SLL,4.625,USD,gallion.USG.UGL,,462.5
733,WF-SSH,2021-01-04,2022-03-31,WF,SSH,2.1465,USD,gallion.USG.UGL,,214.65
734,WF-STN,2020-01-05,2021-03-31,WF,STN,0.85455,USD,gallion.USG.UGL,,85.455
735,WF-SVQ,2021-01-04,2021-01-04,WF,SVQ,2.01109,USD,gallion.USG.UGL,,201.10899999999998
736,WF-SXB,2022-01-03,2022-01-03,WF,SXB,5.0461,USD,gallion.USG.UGL,,504.61
737,WF-SXF,2019-09-07,2020-03-31,WF,SXF,2.520431,USD,gallion.USG.UGL,,252.04309999999998
738,WF-SZX,2020-01-05,2021-03-31,WF,SZX,1.61122,USD,gallion.USG.UGL,,161.122
739,WF-SZZ,2023-01-04,2024-03-31,WF,SZZ,3.8076,USD,gallion.USG.UGL,,380.76
740,WF-TBS,2020-04-16,2021-03-31,WF,TBS,2.21318,USD,gallion.USG.UGL,,221.31799999999998
741,WF-TGD,2020-03-17,2021-03-31,WF,TGD,1.32565,USD,gallion.USG.UGL,,132.565
742,WF-TGM,2020-04-15,2021-03-31,WF,TGM,3.13179,USD,gallion.USG.UGL,,313.17900000000003
743,WF-TIV,2020-01-04,2020-01-04,WF,TIV,2.41251,USD,gallion.USG.UGL,,241.251
744,WF-TLV,2021-01-04,2021-01-04,WF,TLV,1.7115,USD,gallion.USG.UGL,,171.15
745,WF-TNG,2021-01-04,2022-03-31,WF,TNG,2.13038,USD,gallion.USG.UGL,,213.038
746,WF-TSE,2020-09-13,2020-09-13,WF,TSE,2.29571,USD,gallion.USG.UGL,,229.57100000000003
747,WF-TSN,2023-01-03,2023-01-03,WF,TSN,2.53842,USD,gallion.USG.UGL,,253.84199999999998
748,WF-TSR,2020-04-13,2021-03-31,WF,TSR,1.31504,USD,gallion.USG.UGL,,131.504
749,WF-TUF,2020-11-04,2021-03-31,WF,TUF,2.59012,USD,gallion.USG.UGL,,259.012
750,WF-TUN,2020-01-10,2021-03-31,WF,TUN,1.33173,USD,gallion.USG.UGL,,133.173
751,WF-VKO,2022-02-03,2023-03-31,WF,VKO,4.27709,USD,gallion.USG.UGL,,427.709
752,WF-VLC,2020-01-04,2021-03-31,WF,VLC,2.21327,USD,gallion.USG.UGL,,221.327
753,WF-VOG,2020-01-04,2021-03-31,WF,VOG,3.08751,USD,gallion.USG.UGL,,308.751
754,WF-VOZ,2020-01-04,2020-01-04,WF,VOZ,2.86093,USD,gallion.USG.UGL,,286.093
755,WF-VRN,2023-01-04,2024-03-31,WF,VRN,3.69605,USD,gallion.USG.UGL,,369.605
756,WF-WNZ,2023-01-04,2024-03-31,WF,WNZ,3.05167,USD,gallion.USG.UGL,,305.16700000000003
757,WF-WRO,2023-11-09,2023-11-09,WF,WRO,2.95789,USD,gallion.USG.UGL,,295.789
758,WF-WVB,2020-06-19,2020-06-19,WF,WVB,1.57548,USD,gallion.USG.UGL,,157.548
759,WF-YHZ,2020-05-21,2021-03-31,WF,YHZ,1.18659,USD,gallion.USG.UGL,,118.659
760,WF-ZAD,2021-01-10,2022-03-31,WF,ZAD,2.16306,USD,gallion.USG.UGL,,216.306
761,WF-ZNZ,2023-01-04,2023-01-04,WF,ZNZ,5.474,USD,gallion.USG.UGL,,547.4
762,WF--OPO,2020-01-04,2020-01-04,WF ,OPO,2.15312,USD,gallion.USG.UGL,,215.31199999999998
763,WF--TBS,2020-01-04,2020-01-04,WF ,TBS,1.17228,USD,gallion.USG.UGL,,117.228
764,Jetex--NHD,2020-01-07,2021-03-31,Jetex ,NHD,2.63,USD,gallion.USG.UGL,,263.0
765,Jetex--WRO,2020-09-22,2021-03-31,Jetex ,WRO,1.5727,EUR,gallion.USG.UGL,,144.43015887592983
766,Jetex--KUF,2020-11-09,2021-03-31,Jetex ,KUF,521,USD,mTon,,157.77564520624722
767,Jetex--GOJ,2020-11-09,2021-03-31,Jetex ,GOJ,518,USD,mTon,,156.86714820889839
768,Jetex--KRR,2020-11-09,2021-03-31,Jetex ,KRR,556,USD,mTon,,168.3747768419836
769,Shannon--AER,2023-03-28,2024-03-31,Shannon ,AER,1632,USD,mTon,,494.22236655776476
770,Shannon--MRV,2023-01-03,2024-03-31,Shannon ,MRV,1212,USD,mTon,,367.03278692892826
771,Shannon--ROV,2020-01-04,2021-03-31,Shannon ,ROV,806,USD,mTon,,244.08285995438627
772,Shannon--VOZ,2023-03-28,2024-03-31,Shannon ,VOZ,1208,USD,mTon,,365.8214575991298
773,Aurora--GYD,2020-04-09,2021-03-31,Aurora ,GYD,809.5,USD,mTon,,245.1427731179599
774,Aurora--HRK,2020-07-08,2021-03-31,Aurora ,HRK,629.5,USD,mTon,,190.63295327702997
775,WF--MSQ,2020-02-10,2021-03-31,WF ,MSQ,2.437,USD,gallion.USG.UGL,,243.7
776,Letisko Poprad--TAT,2021-06-07,2021-06-07,Letisko Poprad ,TAT,807,EUR,M3.1000L,,280.5425024523866
777,WF--SJJ,2021-01-04,2021-01-04,WF ,SJJ,2.31031,USD,gallion.USG.UGL,,231.03099999999998
778,WF--PEK,2020-01-06,2021-03-31,WF ,PEK,1.24012,USD,gallion.USG.UGL,,124.01199999999999
779,WF--TSE,2020-09-13,2021-03-31,WF ,TSE,2.29571,USD,gallion.USG.UGL,,229.57100000000003
780,Aurora--AUH,2020-04-15,2021-03-31,Aurora ,AUH,0.97,USD,gallion.USG.UGL,,97.0
781,Total--OUA,2023-01-03,2024-03-31,Total ,OUA,491.2236,USDC,gallion.USG.UGL,,451.11911102947926
782,Total--ABJ,2023-01-03,2024-03-31,Total ,ABJ,337.6587,USDC,gallion.USG.UGL,,310.09156029020113
783,Jetex--FKB,2020-01-10,2021-03-31,Jetex ,FKB,4.8257,USD,gallion.USG.UGL,,482.57000000000005
784,AEG-GNB,2023-01-10,2024-03-31,AEG,GNB,5.4652,USD,gallion.USG.UGL,,546.52
785,WF-GNB,2023-01-09,2024-03-31,WF,GNB,5.14753,USD,gallion.USG.UGL,,514.7529999999999
786,Jetex--RMF,2020-08-26,2021-03-31,Jetex ,RMF,2.59,USD,gallion.USG.UGL,,259.0
787,Ist Jet--ABZ,2020-06-23,2021-03-31,Ist Jet ,ABZ,141.53,USDC,gallion.USG.UGL,,129.97520433464965
788,Ist Jet--ALA,2023-01-03,2024-03-31,Ist Jet ,ALA,1426,USD,mTon,,431.8389060731449
789,Aurora--PHC,2020-01-08,2021-03-31,Aurora ,PHC,1.63,USD,gallion.USG.UGL,,163.0
790,Airport ALA-ALA,2022-03-31,2023-03-31,Airport ALA,ALA,1370,USD,mTon,,414.88029545596675
791,WF-DIR,2023-07-19,2024-03-31,WF,DIR,4.67229,USD,gallion.USG.UGL,,467.22900000000004
792,Airport ALA--ALA,2022-03-31,2023-03-31,Airport ALA ,ALA,1370,USD,mTon,,414.88029545596675
793,WF-DUB,2019-01-04,2020-03-31,WF,DUB,2.07125,USD,gallion.USG.UGL,,207.125
794,AEG-DUB,2019-01-04,2020-03-31,AEG,DUB,2.2562,USD,gallion.USG.UGL,,225.62000000000003
795,Aurora-GYD,2019-01-04,2020-03-31,Aurora,GYD,866,USD,mTon,,262.25279990136295
796,Aurora-KRK,2019-01-04,2020-03-31,Aurora,KRK,2.3,EUR,gallion.USG.UGL,,211.22233446597482
797,Airport KSC-KSC,2019-01-01,2020-03-31,Airport KSC,KSC,0.77678,EUR,litter.L,,270.0369335624924
798,Aurora-KZN,2020-03-31,2020-03-31,Aurora,KZN,822,USD,mTon,,248.92817727358005
799,WF-LJU,2020-03-31,2020-03-31,WF,LJU,2.84164,USD,gallion.USG.UGL,,284.164
800,Jetex-LJU*,2020-03-31,2020-03-31,Jetex,LJU*,2.9284,USD,gallion.USG.UGL,,292.84
801,WF-LTN,2019-06-18,2019-06-18,WF,LTN,2.13701,USD,gallion.USG.UGL,,213.70100000000002
802,Ist Jet-RHO,2020-03-31,2020-03-31,Ist Jet,RHO,2.4533,USD,gallion.USG.UGL,,245.33
803,WF-RHO*,2020-03-31,2020-03-31,WF,RHO*,2.49371,USD,gallion.USG.UGL,,249.371
804,AEG-KRK,2019-08-28,2019-08-10,AEG,KRK,2.213278,USD,gallion.USG.UGL,,221.3278
805,AEG-KRK,2019-08-21,2019-08-27,AEG,KRK,2.168978,USD,gallion.USG.UGL,,216.89780000000002
806,AEG-KRK,2019-01-08,2019-08-20,AEG,KRK,2.156878,USD,gallion.USG.UGL,,215.68779999999998
807,Airport KSC-KSC,2019-01-04,2019-04-22,Airport KSC,KSC,0.77678,EUR,litter.L,,270.0369335624924
808,AEG-KRK,2019-07-24,2019-07-30,AEG,KRK,2.264378,USD,gallion.USG.UGL,,226.43779999999998
809,AEG-KRK,2019-06-26,2019-07-23,AEG,KRK,2.259451,USD,gallion.USG.UGL,,225.9451
810,AEG-LTN,2019-07-19,2019-07-19,AEG,LTN,2.270554,USD,gallion.USG.UGL,,227.05540000000002
811,AEG-KRK,2019-06-19,2019-06-25,AEG,KRK,2.209144,USD,gallion.USG.UGL,,220.91440000000003
812,AEG-KRK,2019-03-05,2019-06-18,AEG,KRK,2.126551,USD,gallion.USG.UGL,,212.6551
813,Aurora-GYD,2019-05-06,2019-05-06,Aurora,GYD,866,USD,mTon,,262.25279990136295
814,WF-OSL,2019-05-06,2019-05-06,WF,OSL,2.27424,USD,gallion.USG.UGL,,227.42399999999998
815,Aurora-RIX,2019-05-06,2019-05-06,Aurora,RIX,2.2532,USD,gallion.USG.UGL,,225.32000000000002
816,Aurora-KZN,2019-05-20,2019-05-20,Aurora,KZN,822,USD,mTon,,248.92817727358005
817,Ist Jet-RHO,2019-08-05,2019-08-05,Ist Jet,RHO,2.4533,USD,gallion.USG.UGL,,245.33
818,AEG-KRK,2019-02-05,2019-02-05,AEG,KRK,2.310351,USD,gallion.USG.UGL,,231.03509999999997
819,Airport KSC-KSC,2019-04-23,2019-07-31,Airport KSC,KSC,0.78899,EUR,litter.L,,274.281572918292
820,Airport KSC-KSC,2019-01-08,2020-03-31,Airport KSC,KSC,0.78899,EUR,litter.L,,274.281572918292
821,AEG-TIA,2019-01-04,2019-01-04,AEG,TIA,3.7213,USD,gallion.USG.UGL,,372.13
822,WF-TNG,2019-03-31,2019-03-31,WF,TNG,2.49704,USD,gallion.USG.UGL,,249.704
823,WF-TNG,2019-03-23,2019-03-23,WF,TNG,2.49704,USD,gallion.USG.UGL,,249.704
824,WF-EVN,2019-03-23,2019-03-23,WF,EVN,2.91239,USD,gallion.USG.UGL,,291.239
825,Aurora-KBP,2019-03-23,2019-03-23,Aurora,KBP,802,USD,mTon,,242.87153062458782
826,WF-RZE,2019-04-03,2019-04-03,WF,RZE,2.78214,USD,gallion.USG.UGL,,278.214
827,AEG-PED,2019-06-02,2019-06-02,AEG,PED,2.675754,USD,gallion.USG.UGL,,267.5754
828,AEG-PRN,2019-06-02,2019-06-02,AEG,PRN,3.349412,USD,gallion.USG.UGL,,334.9412
829,Aerport sciac-SLD,2018-09-17,2018-09-17,Aerport sciac,SLD,1274.85,EUR,mTon,,354.5466057703979
830,Aerport sciac-SLD,2018-09-17,2018-09-17,Aerport sciac,SLD,1255.1,EUR,mTon,,349.05396313482083
831,Aerport sciac-SLD,2018-09-17,2019-01-07,Aerport sciac,SLD,1220.9,EUR,mTon,,339.5426528494167
832,Aerport sciac-SLD,2018-09-17,2018-09-17,Aerport sciac,SLD,1248.98,EUR,mTon,,347.35193918901166
833,Aerport sciac-SLD,2018-09-17,2018-09-17,Aerport sciac,SLD,1212.78,EUR,mTon,,337.2844119278528
834,AEG-PED,2019-06-02,2019-06-02,AEG,PED,2.768403,USD,gallion.USG.UGL,,276.8403
835,AEG-PED,2019-05-23,2019-05-06,AEG,PED,2.758631,USD,gallion.USG.UGL,,275.8631
836,AEG-PED,2019-06-06,2019-12-06,AEG,PED,2.788271,USD,gallion.USG.UGL,,278.8271
837,AEG-PED,2019-06-13,2019-06-13,AEG,PED,2.801797,USD,gallion.USG.UGL,,280.1797
838,AEG-PED,2019-06-20,2019-06-26,AEG,PED,2.789559,USD,gallion.USG.UGL,,278.9559
839,AEG-PED,2019-06-27,2019-03-07,AEG,PED,2.821932,USD,gallion.USG.UGL,,282.1932
840,AEG-PED,2019-04-07,2019-10-07,AEG,PED,2.806309,USD,gallion.USG.UGL,,280.6309
841,AEG-PED,2019-11-07,2019-07-31,AEG,PED,2.863773,USD,gallion.USG.UGL,,286.3773
842,AEG-PED,2019-01-08,2019-08-14,AEG,PED,2.866202,USD,gallion.USG.UGL,,286.6202
843,AEG-PED,2019-08-15,2019-08-28,AEG,PED,2.866431,USD,gallion.USG.UGL,,286.6431
844,AEG-PED,2019-08-29,2019-02-10,AEG,PED,2.804226,USD,gallion.USG.UGL,,280.4226
845,AEG-PED,2019-03-10,2019-10-30,AEG,PED,2.887916,USD,gallion.USG.UGL,,288.7916
846,WF-RZE,2019-05-11,2020-03-31,WF,RZE,2.69186,USD,gallion.USG.UGL,,269.18600000000004
847,WF-RZE,2019-04-03,2019-01-10,WF,RZE,2.64605,USD,gallion.USG.UGL,,264.60499999999996
848,WF-RZE,2019-04-03,2019-04-03,WF,RZE,2.64605,USD,gallion.USG.UGL,,264.60499999999996
849,WF-RZE,2019-09-08,2019-01-09,WF,RZE,2.71022,USD,gallion.USG.UGL,,271.022
850,WF-RZE,2019-10-07,2019-08-08,WF,RZE,2.71022,USD,gallion.USG.UGL,,271.022
851,WF-RZE,2019-06-23,2019-09-07,WF,RZE,2.67993,USD,gallion.USG.UGL,,267.993
852,WF-RZE,2019-02-06,2019-06-22,WF,RZE,2.66858,USD,gallion.USG.UGL,,266.858
853,WF-RZE,2019-11-05,2019-01-06,WF,RZE,2.81999,USD,gallion.USG.UGL,,281.999
854,WF-RZE,2019-04-05,2019-10-05,WF,RZE,2.81999,USD,gallion.USG.UGL,,281.999
855,WF-RZE,2019-04-18,2019-03-05,WF,RZE,2.7428,USD,gallion.USG.UGL,,274.28
856,WF-RZE,2019-01-04,2019-04-17,WF,RZE,2.7428,USD,gallion.USG.UGL,,274.28
857,AEG-TAT,2019-03-18,2019-07-15,AEG,TAT,4.802981,USD,gallion.USG.UGL,,480.2981
858,WF-EVN,2019-10-12,2020-03-31,WF,EVN,2.79758,USD,gallion.USG.UGL,,279.758
859,WF-EVN,2019-03-23,2019-10-24,WF,EVN,2.97426,USD,gallion.USG.UGL,,297.426
860,WF-EVN,2019-03-23,2019-01-10,WF,EVN,2.95916,USD,gallion.USG.UGL,,295.916
861,WF-EVN,2019-03-23,2019-09-18,WF,EVN,2.93197,USD,gallion.USG.UGL,,293.197
862,WF-EVN,2019-03-23,2019-09-14,WF,EVN,2.93051,USD,gallion.USG.UGL,,293.051
863,WF-EVN,2019-03-23,2019-04-09,WF,EVN,2.92593,USD,gallion.USG.UGL,,292.593
864,WF-EVN,2019-03-23,2019-08-27,WF,EVN,3.01052,USD,gallion.USG.UGL,,301.052
865,WF-EVN,2019-03-23,2019-07-08,WF,EVN,2.87613,USD,gallion.USG.UGL,,287.613
866,WF-EVN,2019-03-23,2019-07-30,WF,EVN,2.96677,USD,gallion.USG.UGL,,296.67699999999996
867,WF-EVN,2019-03-23,2019-11-07,WF,EVN,2.96677,USD,gallion.USG.UGL,,296.67699999999996
868,WF-EVN,2019-03-23,2019-03-23,WF,EVN,3.06647,USD,gallion.USG.UGL,,306.647
869,WF-EVN,2019-03-23,2019-03-23,WF,EVN,2.93656,USD,gallion.USG.UGL,,293.656
870,WF-EVN,2019-03-23,2019-06-14,WF,EVN,2.93656,USD,gallion.USG.UGL,,293.656
871,WF-EVN,2019-03-23,2019-05-25,WF,EVN,2.91541,USD,gallion.USG.UGL,,291.541
872,WF-EVN,2019-03-23,2019-03-05,WF,EVN,2.87613,USD,gallion.USG.UGL,,287.613
873,WF-EVN,2019-03-23,2019-04-27,WF,EVN,2.89426,USD,gallion.USG.UGL,,289.426
874,WF-EVN,2019-03-23,2019-04-27,WF,EVN,2.90937,USD,gallion.USG.UGL,,290.937
875,WF-EVN,2019-03-23,2019-09-04,WF,EVN,2.87009,USD,gallion.USG.UGL,,287.00899999999996
876,AEG--LTN,2019-07-20,2020-03-31,AEG ,LTN,2.270554,USD,gallion.USG.UGL,,227.05540000000002
877,WF--RZE,2019-05-11,2020-03-31,WF ,RZE,2.71022,USD,gallion.USG.UGL,,271.022
878,WF--TNG,2019-01-12,2020-05-02,WF ,TNG,2.55017,USD,gallion.USG.UGL,,255.017
879,WF-TNG,2019-10-16,2019-10-31,WF,TNG,2.42676,USD,gallion.USG.UGL,,242.676
880,WF-TNG,2019-01-10,2019-10-15,WF,TNG,2.55017,USD,gallion.USG.UGL,,255.017
881,WF-TNG,2019-09-15,2019-09-30,WF,TNG,2.41553,USD,gallion.USG.UGL,,241.553
882,WF-TNG,2019-01-09,2019-09-15,WF,TNG,2.38673,USD,gallion.USG.UGL,,238.673
883,WF-TNG,2019-08-15,2019-08-31,WF,TNG,2.37445,USD,gallion.USG.UGL,,237.445
884,WF-TNG,2019-01-08,2019-08-15,WF,TNG,2.49108,USD,gallion.USG.UGL,,249.108
885,WF-TNG,2019-07-15,2019-07-31,WF,TNG,2.47154,USD,gallion.USG.UGL,,247.154
886,WF-TNG,2019-01-07,2019-07-15,WF,TNG,2.47154,USD,gallion.USG.UGL,,247.154
887,WF-TNG,2019-06-15,2019-06-30,WF,TNG,2.33002,USD,gallion.USG.UGL,,233.002
888,WF-TNG,2019-01-06,2019-06-15,WF,TNG,2.54278,USD,gallion.USG.UGL,,254.278
889,WF-TNG,2019-05-15,2019-05-31,WF,TNG,2.57212,USD,gallion.USG.UGL,,257.212
890,WF-TNG,2019-01-05,2019-05-15,WF,TNG,2.57981,USD,gallion.USG.UGL,,257.981
891,WF-TNG,2019-04-15,2019-04-30,WF,TNG,2.53528,USD,gallion.USG.UGL,,253.52800000000002
892,WF-TNG,2019-01-04,2019-04-15,WF,TNG,2.50255,USD,gallion.USG.UGL,,250.255
893,Aurora-KBP,2019-01-04,2019-03-06,Aurora,KBP,832,USD,mTon,,251.95650059807616
894,Aurora-SSH,2019-01-04,2019-05-20,Aurora,SSH,2.7385,USD,gallion.USG.UGL,,273.85
895,AEG-WRO,2019-01-04,2019-01-04,AEG,WRO,2.953142,USD,gallion.USG.UGL,,295.3142
896,AEG-PRN,2019-02-04,2019-01-05,AEG,PRN,3.641304,USD,gallion.USG.UGL,,364.1304
897,WF-EVN,2019-10-04,2019-04-16,WF,EVN,2.88822,USD,gallion.USG.UGL,,288.822
898,AEG-WRO,2019-01-05,2019-01-05,AEG,WRO,2.963296,USD,gallion.USG.UGL,,296.3296
899,AEG-PRN,2019-02-05,2019-01-07,AEG,PRN,3.449387,USD,gallion.USG.UGL,,344.93870000000004
900,Shannon--ASB,2019-05-15,2020-03-31,Shannon ,ASB,675,USD,mTon,,204.41182440348726
901,Catar benz-OMO,2019-05-15,2019-08-13,Catar benz,OMO,865,USD,mTon,,261.94996756891334
902,Aurora-ASB,2019-05-15,2019-05-15,Aurora,ASB,675,USD,mTon,,204.41182440348726
903,Aurora-SSH,2019-05-21,2019-08-16,Aurora,SSH,2.6135,USD,gallion.USG.UGL,,261.35
904,AEG-WRO,2019-05-29,2019-05-29,AEG,WRO,2.895021,USD,gallion.USG.UGL,,289.5021
905,Aurora-KBP,2019-04-06,2019-01-07,Aurora,KBP,827,USD,mTon,,250.4423389358281
906,AEG-WRO,2019-05-06,2019-05-06,AEG,WRO,2.762536,USD,gallion.USG.UGL,,276.2536
907,AEG-TIA,2019-12-06,2019-06-18,AEG,TIA,3.487642,USD,gallion.USG.UGL,,348.7642
908,AEG-WRO,2019-12-06,2019-12-06,AEG,WRO,2.786541,USD,gallion.USG.UGL,,278.6541
909,AEG-TIA,2019-06-19,2019-06-25,AEG,TIA,3.577612,USD,gallion.USG.UGL,,357.7612
