id,supl_iata,start,end,platts,value,period,unnamed__6,unnamed__7
2098,HNWE  USDC.UGLPM,2022-12-01,2022-12-31,HNWE  USDC.UGL,322.49,PM,,
2099,HROTT  USDC.UGLPM,2022-12-01,2022-12-31,HROTT  USDC.UGL,321.79,PM,,
2100,HNWE  USDC.UGLPW,2022-12-06,2022-12-12,HNWE  USDC.UGL,304.57,PW,,
2101,HROTT  USDC.UGLPW,2022-12-06,2022-12-12,HROTT  USDC.UGL,309.31,PW,,
2102,FOB MED  USDC.UGLPW,2022-12-06,2022-12-12,FOB MED  USDC.UGL,288.8,PW,,
2103,ARAB GULF FOB HIGH PRIORPW,2022-12-06,2022-12-12,ARAB GULF FOB HIGH PRIOR,258.49,PW,,
2104,HNWE  USDC.UGL1/2M,2022-12-01,2022-12-15,HNWE  USDC.UGL,313.18,1/2M,,
2105,MOPAGPM,2022-12-01,2022-12-31,MOPAG,308.83,PM,,
2106,HNWE  USDC.UGLPW,2022-12-13,2022-12-19,HNWE  USDC.UGL,272.97,PW,,
2107,HROTT  USDC.UGLPW,2022-12-13,2022-12-19,HROTT  USDC.UGL,273.47,PW,,
2108,FOB MED  USDC.UGLPW,2022-12-13,2022-12-19,FOB MED  USDC.UGL,257.56,PW,,
2109,ARAB GULF FOB HIGH PRIORPW,2022-12-13,2022-12-19,ARAB GULF FOB HIGH PRIOR,234.92,PW,,
2110,LukOIL FOB MED1/2M,2022-12-16,2022-12-31,LukOIL FOB MED,895.1,1/2M,,
2111,FOB MED  USDC.UGL1/2M,2022-12-16,2022-12-31,FOB MED  USDC.UGL,271.07,1/2M,,
2112,CIF MED USDC.UGL1/2M,2022-12-16,2022-12-31,CIF MED USDC.UGL,286.62,1/2M,,
2113,HNWE  USDC.UGLPW,2022-12-20,2022-12-26,HNWE  USDC.UGL,291.22,PW,,
2114,HROTT  USDC.UGLPW,2022-12-20,2022-12-26,HROTT  USDC.UGL,287.21,PW,,
2115,FOB MED  USDC.UGLPW,2022-12-20,2022-12-26,FOB MED  USDC.UGL,274.96,PW,,
2116,HNWE  USDC.UGL1/2M,2022-12-16,2022-12-31,HNWE  USDC.UGL,287.28,1/2M,,
2117,ARAB GULF FOB HIGH PRIORPW,2022-12-20,2022-12-26,ARAB GULF FOB HIGH PRIOR,243.49,PW,,
2118,HNWE  USDC.UGLPW,2022-12-27,2023-02-01,HNWE  USDC.UGL,289.57,PW,,
2119,HROTT  USDC.UGLPW,2022-12-27,2023-02-01,HROTT  USDC.UGL,286.77,PW,,
2120,FOB MED  USDC.UGLPW,2022-12-27,2023-02-01,FOB MED  USDC.UGL,273.11,PW,,
2121,ARAB GULF FOB HIGH PRIORPW,2022-12-27,2023-02-01,ARAB GULF FOB HIGH PRIOR,247.79,PW,,
2122,ARAB GULF FOB HIGH PRIOR1/2M,2022-12-16,2022-12-31,ARAB GULF FOB HIGH PRIOR,267.92,1/2M,,
2123,LukOIL FOB MED1/2M,2023-01-01,2023-01-15,LukOIL FOB MED,913.63,1/2M,,
2124,FOB MED  USDC.UGL1/2M,2023-01-01,2023-01-15,FOB MED  USDC.UGL,276.68,1/2M,,
2125,CIF MED USDC.UGL1/2M,2023-01-01,2023-01-15,CIF MED USDC.UGL,291.83,1/2M,,
2126,HNWE  USDC.UGLPW,2023-01-03,2023-09-01,HNWE  USDC.UGL,297.76,PW,,
2127,HROTT  USDC.UGLPW,2023-01-03,2023-09-01,HROTT  USDC.UGL,297.53,PW,,
2128,FOB MED  USDC.UGLPW,2023-01-03,2023-09-01,FOB MED  USDC.UGL,283.28,PW,,
2129,HNWE  USDC.UGLPM,2023-01-01,2023-01-31,HNWE  USDC.UGL,289.27,PM,,
2130,MOPAGPM,2023-01-01,2023-01-31,MOPAG,274.59,PM,,
2131,ARAB GULF FOB HIGH PRIORPM,2023-01-01,2023-01-31,ARAB GULF FOB HIGH PRIOR,247.82,PM,,
2132,FOB MED  USDC.UGLPM,2023-01-01,2023-01-31,FOB MED  USDC.UGL,273.48,PM,,
2133,ARAB GULF FOB HIGH PRIOR1/2M,2023-01-01,2023-01-15,ARAB GULF FOB HIGH PRIOR,265.07,1/2M,,
2134,HNWE  USDC.UGL1/2M,2023-01-01,2023-01-15,HNWE  USDC.UGL,291.28,1/2M,,
2135,HROTT  USDC.UGLPM,2023-01-01,2023-01-31,HROTT  USDC.UGL,288.1,PM,,
2136,HNWE  USDC.UGLPW,2023-01-10,2023-01-16,HNWE  USDC.UGL,284.4,PW,,
2137,HROTT  USDC.UGLPW,2023-01-10,2023-01-16,HROTT  USDC.UGL,285.27,PW,,
2138,FOB MED  USDC.UGLPW,2023-01-10,2023-01-16,FOB MED  USDC.UGL,273.04,PW,,
2139,LukOIL FOB MED1/2M,2023-01-16,2023-01-31,LukOIL FOB MED,938.8,1/2M,,
2140,FOB MED  USDC.UGL1/2M,2023-01-16,2023-01-31,FOB MED  USDC.UGL,284.3,1/2M,,
2141,HNWE  USDC.UGLPW,2023-01-17,2023-01-23,HNWE  USDC.UGL,297.4,PW,,
2142,HROTT  USDC.UGLPW,2023-01-17,2023-01-23,HROTT  USDC.UGL,297.7,PW,,
2143,FOB MED  USDC.UGLPW,2023-01-17,2023-01-23,FOB MED  USDC.UGL,288.55,PW,,
2144,CIF MED USDC.UGL1/2M,2023-01-16,2023-01-31,CIF MED USDC.UGL,291.35,1/2M,,
2145,ARAB GULF FOB HIGH PRIOR1/2M,2023-01-16,2023-01-31,ARAB GULF FOB HIGH PRIOR,249.44,1/2M,,
2146,ARAB GULF FOB HIGH PRIORPW,2023-01-17,2023-01-23,ARAB GULF FOB HIGH PRIOR,252.14,PW,,
2147,HNWE  USDC.UGLPW,2023-01-24,2023-01-30,HNWE  USDC.UGL,319.25,PW,,
2148,HROTT  USDC.UGLPW,2023-01-24,2023-01-30,HROTT  USDC.UGL,319.25,PW,,
2149,FOB MED  USDC.UGLPW,2023-01-24,2023-01-30,FOB MED  USDC.UGL,310.53,PW,,
2150,HNWE  USDC.UGL1/2M,2023-01-16,2023-01-31,HNWE  USDC.UGL,290.72,1/2M,,
2151,ARAB GULF FOB HIGH PRIORPW,2023-01-24,2023-01-30,ARAB GULF FOB HIGH PRIOR,272.43,PW,,
2152,HNWE  USDC.UGLPW,2023-01-31,2023-06-02,HNWE  USDC.UGL,332.21,PW,,
2153,HROTT  USDC.UGLPW,2023-01-31,2023-06-02,HROTT  USDC.UGL,332.81,PW,,
2154,FOB MED  USDC.UGLPW,2023-01-31,2023-06-02,FOB MED  USDC.UGL,322.94,PW,,
2155,ARAB GULF FOB HIGH PRIORPW,2023-01-31,2023-06-02,ARAB GULF FOB HIGH PRIOR,282.77,PW,,
2156,LukOIL FOB MED1/2M,2023-02-01,2023-02-15,LukOIL FOB MED,1041.05,1/2M,,
2157,FOB MED  USDC.UGL1/2M,2023-02-01,2023-02-15,FOB MED  USDC.UGL,315.26,1/2M,,
2158,CIF MED USDC.UGL1/2M,2023-02-01,2023-02-15,CIF MED USDC.UGL,322.73,1/2M,,
2159,CIF MED USDC.UGLPM,2023-02-01,2023-02-28,CIF MED USDC.UGL,309.25,PM,,
2160,FOB MED  USDC.UGLPM,2023-02-01,2023-02-28,FOB MED  USDC.UGL,300.17,PM,,
2161,ARAB GULF FOB HIGH PRIOR1/2M,2023-02-01,2023-02-15,ARAB GULF FOB HIGH PRIOR,275.07,1/2M,,
2162,ARAB GULF FOB HIGH PRIORPM,2023-02-01,2023-02-28,ARAB GULF FOB HIGH PRIOR,274.64,PM,,
2163,HROTT  USDC.UGLPM,2023-02-01,2023-02-28,HROTT  USDC.UGL,310.02,PM,,
2164,HNWE  USDC.UGLPM,2023-02-01,2023-02-28,HNWE  USDC.UGL,309.58,PM,,
2165,MOPAGPM,2023-02-01,2023-02-28,MOPAG,290.28,PM,,
2166,HNWE  USDC.UGLPW,2023-02-07,2023-02-13,HNWE  USDC.UGL,294.96,PW,,
2167,HROTT  USDC.UGLPW,2023-02-07,2023-02-13,HROTT  USDC.UGL,296.26,PW,,
2168,FOB MED  USDC.UGLPW,2023-02-07,2023-02-13,FOB MED  USDC.UGL,285.87,PW,,
2169,HNWE  USDC.UGL1/2M,2023-02-01,2023-02-15,HNWE  USDC.UGL,322.21,1/2M,,
2170,ARAB GULF FOB HIGH PRIORPW,2023-02-07,2023-02-13,ARAB GULF FOB HIGH PRIOR,266.73,PW,,
2171,ARAB GULF FOB HIGH PRIORPW,2023-02-14,2023-02-20,ARAB GULF FOB HIGH PRIOR,248.8,PW,,
2172,HNWE  USDC.UGLPW,2023-02-14,2023-02-20,HNWE  USDC.UGL,270.98,PW,,
2173,HROTT  USDC.UGLPW,2023-02-14,2023-02-20,HROTT  USDC.UGL,270.88,PW,,
2174,FOB MED  USDC.UGLPW,2023-02-14,2023-02-20,FOB MED  USDC.UGL,261.07,PW,,
2175,CIF MED USDC.UGL1/2M,2023-02-16,2023-02-28,CIF MED USDC.UGL,275.37,1/2M,,
2176,LukOIL FOB MED1/2M,2023-02-16,2023-02-28,LukOIL FOB MED,874.18,1/2M,,
2177,FOB MED  USDC.UGL1/2M,2023-02-16,2023-02-28,FOB MED  USDC.UGL,264.73,1/2M,,
2178,ARAB GULF FOB HIGH PRIOR1/2M,2023-02-16,2023-02-28,ARAB GULF FOB HIGH PRIOR,275,1/2M,,
2179,HNWE  USDC.UGLPW,2023-02-21,2023-02-27,HNWE  USDC.UGL,268.07,PW,,
2180,HROTT  USDC.UGLPW,2023-02-21,2023-02-27,HROTT  USDC.UGL,266.84,PW,,
2181,ARAB GULF FOB HIGH PRIORPW,2023-02-21,2023-02-27,ARAB GULF FOB HIGH PRIOR,244.46,PW,,
2182,FOB MED  USDC.UGLPW,2023-02-21,2023-02-27,FOB MED  USDC.UGL,255.83,PW,,
2183,HNWE  USDC.UGL1/2M,2023-02-16,2023-02-28,HNWE  USDC.UGL,283.74,1/2M,,
2184,ARAB GULF FOB HIGH PRIORPW,2023-02-28,2023-06-03,ARAB GULF FOB HIGH PRIOR,271.44,PW,,
2185,FOB MED  USDC.UGLPW,2023-02-28,2023-06-03,FOB MED  USDC.UGL,247.81,PW,,
2186,HNWE  USDC.UGLPW,2023-02-28,2023-06-03,HNWE  USDC.UGL,258.95,PW,,
2187,HROTT  USDC.UGLPW,2023-02-28,2023-06-03,HROTT  USDC.UGL,256.71,PW,,
2188,LukOIL FOB MED1/2M,2023-03-01,2023-03-15,LukOIL FOB MED,823.35,1/2M,,
2189,FOB MED  USDC.UGL1/2M,2023-03-01,2023-03-15,FOB MED  USDC.UGL,249.34,1/2M,,
2190,CIF MED USDC.UGL1/2M,2023-03-01,2023-03-15,CIF MED USDC.UGL,261.07,1/2M,,
2191,FOB MED  USDC.UGLPM,2023-03-01,2023-03-31,FOB MED  USDC.UGL,258.52,PM,,
2192,ARAB GULF FOB HIGH PRIOR1/2M,2023-03-01,2023-03-15,ARAB GULF FOB HIGH PRIOR,234.07,1/2M,,
2193,HROTT  USDC.UGLPM,2023-03-01,2023-03-31,HROTT  USDC.UGL,268.35,PM,,
2194,HNWE  USDC.UGLPM,2023-03-01,2023-03-31,HNWE  USDC.UGL,269.2,PM,,
2195,FOB MED  USDC.UGLPW,2023-03-07,2023-03-13,FOB MED  USDC.UGL,260.62,PW,,
