id,supl_iata,start,end,platts,value,period,unnamed__6,unnamed__7
2280,ARAB GULF FOB HIGH PRIORPW,2023-05-23,2023-05-29,ARAB GULF FOB HIGH PRIOR,203,PW,,
2281,MOPAG1/2M,2023-05-01,2023-05-15,MOPAG,227.94,1/2M,,
2282,MOPAGPM,2023-04-01,2023-04-30,MOPAG,219.73,PM,,
2283,MOPAG1/2M,2023-05-16,2023-05-31,MOPAG,213.94,1/2M,,
2284,HROTT  USDC.UGLPW,2023-05-30,2023-05-06,HROTT  USDC.UGL,218.93,PW,,
2285,FOB MED  USDC.UGLPW,2023-05-30,2023-05-06,FOB MED  USDC.UGL,214.27,PW,,
2286,HNWE  USDC.UGLPW,2023-05-30,2023-05-06,HNWE  USDC.UGL,220.78,PW,,
2287,FOB MED  USDC.UGLPM,2023-06-01,2023-06-30,FOB MED  USDC.UGL,212.04,PM,,
2288,HNWE  USDC.UGLPM,2023-06-01,2023-06-30,HNWE  USDC.UGL,218.9,PM,,
2289,LukOIL FOB MED1/2M,2023-06-01,2023-06-15,LukOIL FOB MED,704.83,1/2M,,
2290,FOB MED  USDC.UGL1/2M,2023-06-01,2023-06-15,FOB MED  USDC.UGL,213.45,1/2M,,
2291,HROTT  USDC.UGLPM,2023-06-01,2023-06-30,HROTT  USDC.UGL,217.13,PM,,
