id,valid_since,valid_until,confirmed,supplier,iata,period,diff_calc,value_fee_calc,value_fee_calc_1,value_fee_calc_2,value_fee_calc_3,value_fee_calc_4,value_fee_calc_5,value_fee_calc_6,SAF_diff_calc,total_fees_calc,diff_total,rank1,rank2,rank_final
2539,2025-03-14,2025-03-31,Tender,AEG,ALC,PM,18.544578532574345,1.314273834908913,1.3220608882607512,0.9922932810897225,0.0,0.0,0.0,0.0,0.0,3.6286280042593866,18.544578532574345,1,1,1.1
3017,2025-03-13,2025-03-31,Tender,Ist Jet,ALC,PM,20.034280565465973,1.3140652531227028,1.1124364137777156,0.0,0.0,0.0,0.0,0.0,13.848838277160437,2.4265016669004185,33.88311884262641,1,2,1.2
3016,2025-03-13,2025-03-31,Tender,Ist Jet,ALC,PM,20.034280565465973,1.3140652531227028,1.275129986363512,1.1124364137777156,0.0,0.0,0.0,0.0,13.848838277160437,3.701631653263931,33.88311884262641,1,3,1.3
3123,2025-03-13,2025-03-31,Tender,Jetex,ALC,PW,17.07520029176744,15.616667817152619,1.0264228302644225,0.0,0.0,0.0,0.0,0.0,0.0,16.64309064741704,17.07520029176744,4,1,4.1
3259,2025-03-13,2025-03-31,Tender,Air BP,ALC,PW,18.876651652000735,1.275129986363512,1.4946623163494872,1.1124364137777156,0.0,0.0,0.0,0.0,13.248941241901031,3.882228716490715,32.12559289390177,4,2,4.2
2730,2025-03-16,2025-03-31,Tender,WF,ALG,MP,0.0,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.0,1,1,1.1
2294,2025-03-12,2025-03-31,Tender,UCIG,ALG,MP,1.3775369639085315,0.17356965745247496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17356965745247496,1.3775369639085315,1,2,1.2
2399,2025-03-13,2025-03-31,Tender,CAC,ALG,MP,1.836715951878042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.836715951878042,1,3,1.3
2540,2025-03-14,2025-03-31,Tender,AEG,ALG,MP,4.0,0.18927058945660155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18927058945660155,4.0,1,4,1.4
3029,2025-03-13,2025-03-31,Tender,Jetex,ALG,MP,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,1,5,1.5
2895,2025-03-17,2025-03-31,Tender,Royal Petrol,ALG,MP,3.214252915786574,0.87244007714207,9.18357975939021,0.0,0.0,0.0,0.0,0.0,0.0,10.056019836532279,3.214252915786574,1,6,1.6
2541,2025-03-14,2025-03-31,Tender,AEG,AMS,PM,4.570787216470802,2.43345417244945,1.738181551749607,1.2062979969142273,1.3523052472611945,2.065504219581629,0.0,0.0,9.7338166897978,8.79574318795611,14.304603906268603,1,1,1.1
3260,2025-03-13,2025-03-31,Tender,Air BP,AMS,PM,3.128726793149293,1.3523052472611945,2.7810904827993714,3.3033920224130844,1.738181551749607,1.2062979969142273,0.0,0.0,18.169976560321413,10.381267301137484,21.298703353470707,1,2,1.2
2290,2025-03-12,2025-03-31,Tender,Q8,AMS,PM,4.8599556186919015,1.738181551749607,3.301034140883882,2.7810904827993714,0.0,0.0,0.0,0.0,20.44122363036159,7.82030617543286,25.301179249053494,1,3,1.3
2486,2025-03-14,2025-03-31,Tender,Total,AMS,PW,5.005962869038869,1.2062979969142273,1.738181551749607,2.7810904827993714,1.3279707055366996,2.8294578350433275,0.0,0.0,14.00602359858109,9.882998572043235,19.01198646761996,4,1,4.1
2469,2025-03-13,2025-03-31,Tender,CAC,AMS,PW,8.690907758748036,1.2062979969142273,1.738181551749607,2.7810904827993714,1.3279707055366996,2.8294578350433275,0.0,0.0,21.19830598704165,9.882998572043235,29.889213745789686,4,2,4.2
3071,2025-03-13,2025-03-31,Tender,Jetex,AMS,PW,12.43425554859599,24.91210469050986,2.8294578350433275,0.0,0.0,0.0,0.0,0.0,0.0,27.74156252555319,12.43425554859599,4,3,4.3
