id,valid_since,valid_until,confirmed,supplier,iata,period,diff_calc,value_fee_calc,value_fee_calc_1,value_fee_calc_2,value_fee_calc_3,value_fee_calc_4,value_fee_calc_5,value_fee_calc_6,SAF_diff_calc,total_fees_calc,diff_total,rank1,rank2,rank_final,offer_start,offer_end,platts_start,platts_end,mp_start,mp_end,effective_start,effective_end,price_usc_per_gallon,price_dollar_per_tonne
2277,2024-04-01,2025-03-31,yes,Total,LEJ,PW,21.90108755204505,5.909817275948664,0.9907634859974549,23.318136585745815,1.9070338521903665,0.0,0.0,0.0,0.0,32.1257511998823,21.90108755204505,1,1,1.1,2024-04-01,2025-03-31,,,,,2024-04-01,2025-03-31,258.00385798269633,851.9803398304598
2278,2024-04-01,2025-03-31,yes,Total,LIL,PW,27.810904827993713,4.171635724199057,13.80811424709888,1.4322616008103561,0.0985338372549335,3.5597958233733125,22.068950697223716,1.711440636581101,0.0,46.85073256654136,27.810904827993713,1,2,1.2,2024-04-01,2025-03-31,,,,,2024-04-01,2025-03-31,278.63865662530407,920.1205719080791
2285,2024-04-01,2025-03-31,yes,WF,LIN,PW,11.078000000000001,1.978,11.87,9.892,5.539000000000001,1.6999387830531678,0.0,0.0,0.0,30.978938783053167,11.078000000000001,5,2,5.2,2024-04-01,2025-03-31,,,,,2024-04-01,2025-03-31,246.03395801382217,812.4533361532435
2279,2024-04-01,2025-03-31,yes,Total,MRS,PW,19.4676333795956,11.965641802244297,1.108959831695397,0.0985338372549335,3.5597958233733125,22.068950697223716,2.2248728275554313,0.0,0.0,41.02675481934709,19.4676333795956,1,1,1.1,2024-04-01,2025-03-31,,,,,2024-04-01,2025-03-31,264.4714074297117,873.3374816143939
2286,2024-04-01,2025-03-31,yes,WF,MXP,PW,19.783,1.978,1.729,11.87,2.698,0.0,0.0,0.0,0.0,18.275,19.783,4,1,4.1,2024-04-01,2025-03-31,,,,,2024-04-01,2025-03-31,240.60044147157203,794.5107778274252
3249,2025-01-01,2025-12-31,yes,LukOil,PDV3,1/2M,34.52288589925563,3.0283233244961076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0283233244961076,34.52288589925563,1,1,1.1,2025-01-01,2025-12-31,,,,,2025-01-01,2025-12-31,242.72736864404175,801.5343167363546
3250,2025-01-01,2025-12-31,yes,LukOil,PDV4,1/2M,34.52288589925563,3.0283233244961076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0283233244961076,34.52288589925563,1,1,1.1,2025-01-01,2025-12-31,,,,,2025-01-01,2025-12-31,242.72736864404175,801.5343167363546
2287,2024-04-01,2025-03-31,yes,WF,PFO,PM,34.5,4.194,22.069,16.0,4.664,0.0,0.0,0.0,0.0,46.927,34.5,1,1,1.1,2024-04-01,2025-03-31,,,,,2024-04-01,2025-03-31,297.72700000000003,983.1540994000001
2288,2024-04-01,2025-03-31,yes,WF,SKG,PW,32.5,6.268999999999999,0.43499999999999994,20.990000000000002,0.0,0.0,0.0,0.0,0.0,27.694000000000003,32.5,3,1,3.1,2024-04-01,2025-03-31,,,,,2024-04-01,2025-03-31,262.736441471572,867.6082770274251
3245,2025-01-01,2025-12-31,yes,LukOil,SOF3,1/2M,42.0936942104959,0.3028323324496108,0.0,0.0,0.0,0.0,0.0,0.0,5.450981984092993,0.3028323324496108,47.54467619458889,1,1,1.1,2025-01-01,2025-12-31,,,,,2025-01-01,2025-12-31,253.02366794732848,835.5347562956681
3243,2025-01-01,2025-12-31,yes,LukOil,SOF3L,1/2M,46.03051453234084,0.3028323324496108,0.0,0.0,0.0,0.0,0.0,0.0,5.450981984092993,0.3028323324496108,51.48149651643383,1,1,1.1,2025-01-01,2025-12-31,,,,,2025-01-01,2025-12-31,256.9604882691734,848.5349243624645
3246,2025-01-01,2025-12-31,yes,LukOil,SOF4,1/2M,45.72768219989123,0.3028323324496108,0.0,0.0,0.0,0.0,0.0,0.0,5.450981984092993,0.3028323324496108,51.17866418398422,1,1,1.1,2025-01-01,2025-12-31,,,,,2025-01-01,2025-12-31,256.6576559367238,847.5349114342494
3244,2025-01-01,2025-12-31,yes,LukOil,SOF4L,1/2M,49.66450252173617,0.3028323324496108,0.0,0.0,0.0,0.0,0.0,0.0,5.450981984092993,0.3028323324496108,55.11548450582916,1,1,1.1,2025-01-01,2025-12-31,,,,,2025-01-01,2025-12-31,260.59447625856876,860.5350795010457
3247,2025-01-01,2025-03-31,yes,LukOil,VAR3,1/2M,35.88563139527888,0.3028323324496108,0.0,0.0,0.0,0.0,0.0,0.0,5.450981984092993,0.3028323324496108,41.33661337937187,1,1,1.1,2025-01-01,2025-03-31,,,,,2025-01-01,2025-03-31,246.81560513211147,815.0344912672585
3248,2025-01-01,2025-03-31,yes,LukOil,VAR4,1/2M,36.794128392627705,0.3028323324496108,0.0,0.0,0.0,0.0,0.0,0.0,5.450981984092993,0.3028323324496108,42.245110376720696,1,1,1.1,2025-01-01,2025-03-31,,,,,2025-01-01,2025-03-31,247.7241021294603,818.0345300519039
2289,2024-04-01,2025-03-31,yes,WF,ZTH,PW,53.349999999999994,6.268999999999999,0.43499999999999994,20.990000000000002,0.0,0.0,0.0,0.0,0.0,27.694000000000003,53.349999999999994,4,1,4.1,2024-04-01,2025-03-31,,,,,2024-04-01,2025-03-31,283.586441471572,936.4591470274252
